Name,Phone,Email,Address,Property Type,Property Size,Cleaning Need,Budget,Inquiry Date,Lead Score,Hot Lead,Notes
"Dorothy Smith","(347) 371-6650","dorothysmith44@yahoo.com","4653 Nostrand Avenue, Apartment 353, Brooklyn, New York 11220","Apartment","4+ bedroom house (2500+ sq ft)","Post-renovation cleaning","$100-$150","2025-04-15",95,Yes,"Very particular about cleaning standards. Has pets (cats)."
"Nancy Moore","(347) 332-3803","nancymoore42@icloud.com","1028 Atlantic Avenue, Studio 358, Brooklyn, New York 11215","Studio","4 bedroom house (~2200 sq ft)","Weekend cleaning","$300-$400","2025-04-27",12,No,"No previous cleaning service experience. Mentioned they have children. Very particular about cleaning standards."
"Melissa Anderson","(347) 131-9670","melissaanderson77@icloud.com","8929 Court Street, Townhouse 28, Brooklyn, New York 11238","Townhouse","Studio apartment (~500 sq ft)","One-time move-in cleaning","$100-$150","2025-05-07",50,No,"Has a townhouse in Brooklyn. Booking for a family member/elderly parent. No previous cleaning service experience."
"Joshua Rodriguez","(347) 852-9982","joshuarodriguez63@icloud.com","1500 Nostrand Avenue, Studio 53, Brooklyn, New York 11212","Studio","3 bedroom house (~1800 sq ft)","Post-renovation cleaning","Under $100","2025-04-17",82,Yes,"Worried about price. Referred by another customer. Has pets. References available."
"Sandra Nguyen","(929) 520-4304","sandranguyen39@aol.com","3032 Fourth Avenue, Studio 44, Brooklyn, New York 11231","Studio","3 bedroom condo (~1500 sq ft)","Weekend cleaning","$300-$400","2025-04-20",77,Yes,"Referred by another customer. Has allergies, needs special products."
"William Baker","(929) 844-3744","williambaker72@hotmail.com","3493 Nostrand Avenue, Townhouse 152, Brooklyn, New York 11234","Townhouse","4+ bedroom house (2500+ sq ft)","Bi-weekly cleaning service","$250-$300","2025-04-15",77,Yes,"Recently renovated, needs deep cleaning. References available."
"Daniel Thomas","(347) 895-4491","danielthomas70@icloud.com","4250 Kings Highway, Townhouse 329, Brooklyn, New York 11225","Townhouse","4 bedroom house (~2200 sq ft)","One-time move-in cleaning","$150-$200","2025-04-16",93,Yes,"Prefers weekends. Mentioned they have children. References available."
"Kevin Collins","(347) 222-5246","kevincollins12@gmail.com","4198 Coney Island Avenue, Studio 468, Brooklyn, New York 11234","Studio","3 bedroom house (~1800 sq ft)","Same-day emergency cleaning","Under $100","2025-04-18",39,No,"Prospect is looking for same-day emergency cleaning. Flexible schedule."
"Emily Smith","(718) 377-9383","emilysmith8@gmail.com","7851 Eastern Parkway, Condo 205, Brooklyn, New York 11234","Condo","4+ bedroom house (2500+ sq ft)","Monthly deep cleaning","$250-$300","2025-04-16",32,No,"Prospect is looking for monthly deep cleaning. Specific areas need extra attention."
"Deborah Miller","(929) 114-6620","deborahmiller65@gmail.com","8500 Avenue J, Condo 235, Brooklyn, New York 11215","Condo","3 bedroom house (~1800 sq ft)","Bi-weekly cleaning service","$250-$300","2025-04-26",31,No,"Referred by another customer. Prospect is looking for bi-weekly cleaning service."
"Donna Miller","(347) 274-6115","donnamiller42@yahoo.com","5367 Church Avenue, Condo 65, Brooklyn, New York 11233","Condo","4+ bedroom house (2500+ sq ft)","Post-renovation cleaning","$150-$200","2025-04-19",76,Yes,"Very particular about cleaning standards. Has allergies, needs special products. Donna is looking for post-renovation cleaning. Referred by another customer."
"Ronald Gonzalez","(929) 250-9474","ronaldgonzalez24@icloud.com","8826 Avenue U, Condo 376, Brooklyn, New York 11236","Condo","4+ bedroom house (2500+ sq ft)","Bi-weekly cleaning service","$300-$400","2025-04-24",23,No,"Has allergies, needs special products. Has pets (cats). No previous cleaning service experience."
"Sandra White","(929) 407-3554","sandrawhite95@hotmail.com","5479 Court Street, Studio 31, Brooklyn, New York 11236","Studio","4+ bedroom house (2500+ sq ft)","One-time move-out cleaning","$100-$150","2025-05-08",7,No,"References available. Found us through Google search. No previous cleaning service experience."
"James Rodriguez","(929) 608-3686","jamesrodriguez78@hotmail.com","4272 Kings Highway, Condo 390, Brooklyn, New York 11220","Condo","1 bedroom apartment (~750 sq ft)","One-time move-in cleaning","$200-$250","2025-04-29",21,No,"Flexible schedule. Needs service ASAP."
"Mary Campbell","(718) 744-4027","marycampbell77@icloud.com","8920 Church Avenue, Townhouse 488, Brooklyn, New York 11217","Townhouse","4 bedroom house (~2200 sq ft)","Post-renovation cleaning","$400+","2025-04-19",56,No,"Previous cleaning service was unsatisfactory. Has a townhouse in Brooklyn. Has pets."
