Name,Job Title,Phone,Email,Address,Property Type,Property Size,Cleaning Need,Budget,Inquiry Date,Lead Score,Hot Lead,Notes
"Margaret Thomas","Appliance Repair Technician","(305) 477-4070","margaretthomas0@aol.com","3960 NW 36th Street, Miami, FL 33161","House","2 bedroom house (~1200 sq ft)","Monthly deep cleaning","$100-$150","2025-04-25",85,Yes,"Works from home as a Appliance Repair Technician. Flexible schedule."
"Paul Garcia","Architect","(786) 756-4410","paulgarcia87@yahoo.com","1451 Washington Avenue, Apartment 41, Miami, FL 33181","Apartment","4+ bedroom house (2500+ sq ft)","Monthly deep cleaning","$200-$250","2025-04-17",51,No,"Has a apartment. Very particular about cleaning standards. Mentioned they have children."
"Amanda Edwards","Customer Service Representative","(954) 299-1285","amandaedwards78@outlook.com","4508 Kendall Drive, Condo 244, Miami, FL 33180","Condo","4+ bedroom house (2500+ sq ft)","Weekend availability needed","$150-$200","2025-05-10",78,Yes,"Worried about price. Needs service ASAP. Flexible schedule. Very particular about cleaning standards."
"Jason Hall","Security Guard","(786) 579-1669","jasonhall42@hotmail.com","8042 NE 2nd Avenue, Condo 170, Miami, FL 33169","Condo","2 bedroom apartment (~1000 sq ft)","Bi-weekly cleaning service","$100-$150","2025-04-14",94,Yes,"Booking for a family member/elderly parent. Previous cleaning service was unsatisfactory. Wants green/eco-friendly products."
"Elizabeth Perez","Security Guard","(786) 736-8246","elizabethperez0@hotmail.com","6433 Alton Road, Townhouse 484, Miami, FL 33178","Townhouse","3 bedroom condo (~1500 sq ft)","Needs allergy-friendly products","Under $100","2025-05-03",11,No,"Found us through Google search. No previous cleaning service experience. Works from home as a Security Guard."
"John Young","Electrician","(954) 100-4009","johnyoung72@outlook.com","9109 Brickell Avenue, Miami, FL 33138","House","2 bedroom house (~1200 sq ft)","Eco-friendly cleaning only","$150-$200","2025-04-24",1,No,"John is a Electrician looking for eco-friendly cleaning only. Worried about price."
"Richard Hall","Graduate Student","(954) 457-6775","richardhall30@icloud.com","3892 Kendall Drive, Townhouse 319, Miami, FL 33139","Townhouse","2 bedroom house (~1200 sq ft)","One-time move-out cleaning","$400+","2025-04-25",93,Yes,"Booking for a family member/elderly parent. No previous cleaning service experience. Very particular about cleaning standards."
"Paul Williams","Contractor","(786) 129-7248","paulwilliams55@icloud.com","7987 Douglas Road, Condo 25, Miami, FL 33130","Condo","2 bedroom apartment (~1000 sq ft)","Post-renovation cleaning","$200-$250","2025-04-22",85,Yes,"Previous cleaning service was unsatisfactory. Has a condo."
"Jennifer Scott","Former Teacher","(305) 120-7584","jenniferscott0@icloud.com","9140 NW 7th Avenue, Condo 103, Miami, FL 33179","Condo","4+ bedroom house (2500+ sq ft)","Monthly deep cleaning","$300-$400","2025-05-09",91,Yes,"Booking for a family member/elderly parent. Specific areas need extra attention."
"Sarah Anderson","Security Guard","(305) 409-1963","sarahanderson77@aol.com","7819 NE 2nd Avenue, Miami, FL 33187","House","Studio apartment (~500 sq ft)","Bi-weekly cleaning service","$300-$400","2025-05-02",3,No,"Works from home as a Security Guard. Recently renovated, needs deep cleaning. Booking for a family member/elderly parent. Worried about price."
"Charles Turner","Photographer","(954) 967-2662","charlesturner28@hotmail.com","2722 Lincoln Road, Apartment 300, Miami, FL 33178","Apartment","2 bedroom apartment (~1000 sq ft)","Post-renovation cleaning","$150-$200","2025-04-13",9,No,"Needs service ASAP. Previous cleaning service was unsatisfactory."
"Mark Martinez","Homemaker","(954) 230-6506","markmartinez69@hotmail.com","9850 Lincoln Road, Apartment 272, Miami, FL 33167","Apartment","4+ bedroom house (2500+ sq ft)","Evening cleaning service preferred","$150-$200","2025-04-11",51,No,"Has allergies, needs special products. Mentioned they have children."
"Nancy Martin","Database Administrator","(786) 136-4513","nancymartin77@outlook.com","9271 Lincoln Road, Miami, FL 33183","House","Studio apartment (~500 sq ft)","Monthly deep cleaning","$400+","2025-04-22",19,No,"Recently renovated, needs deep cleaning. Has pets."
"Daniel Williams","Doctor","(786) 397-5447","danielwilliams3@aol.com","7129 Brickell Avenue, Apartment 394, Miami, FL 33133","Apartment","3 bedroom house (~1800 sq ft)","One-time move-out cleaning","Under $100","2025-05-07",84,Yes,"Recently renovated, needs deep cleaning. Booking for a family member/elderly parent. Prefers weekends."
"Robert Johnson","Landscaper","(954) 640-4399","robertjohnson97@aol.com","8608 Brickell Avenue, Condo 338, Miami, FL 33175","Condo","2 bedroom apartment (~1000 sq ft)","One-time move-out cleaning","$150-$200","2025-04-23",1,No,"Referred by another customer. Needs service ASAP. Wants green/eco-friendly products. Works from home as a Landscaper."
"Michael Thomas","Dentist","(954) 622-8088","michaelthomas93@yahoo.com","7071 Douglas Road, Miami, FL 33184","House","2 bedroom apartment (~1000 sq ft)","Weekend availability needed","$400+","2025-05-05",55,No,"Worried about price. Booking for a family member/elderly parent. Specific areas need extra attention."
"Linda Thomas","Hairstylist","(305) 800-2252","lindathomas5@yahoo.com","9475 SW 8th Street, Apartment 141, Miami, FL 33155","Apartment","3 bedroom house (~1800 sq ft)","Monthly deep cleaning","$150-$200","2025-04-24",10,No,"Mentioned they have children. Has pets. Works from home as a Hairstylist. Referred by another customer."
"James Flores","MBA Student","(305) 412-9708","jamesflores70@outlook.com","9073 Brickell Avenue, Studio 103, Miami, FL 33185","Studio","3 bedroom condo (~1500 sq ft)","Needs allergy-friendly products","$150-$200","2025-05-07",32,No,"Very particular about cleaning standards. Found us through Google search."
"Patricia Wilson","Maintenance Technician","(954) 301-3102","patriciawilson70@outlook.com","8322 NW 36th Street, Townhouse 339, Miami, FL 33137","Townhouse","4 bedroom house (~2200 sq ft)","Regular weekly cleaning","$150-$200","2025-04-22",72,Yes,"Has a townhouse. Patricia is a Maintenance Technician looking for regular weekly cleaning. Works from home as a Maintenance Technician."
"Anthony Parker","Part-time Consultant","(786) 241-7701","anthonyparker23@yahoo.com","3644 Douglas Road, Miami, FL 33155","House","Studio apartment (~500 sq ft)","Eco-friendly cleaning only","$250-$300","2025-04-25",36,No,"Previous cleaning service was unsatisfactory. Has pets (cats). Prefers weekends only."
"Amanda Jones","Flight Attendant","(305) 144-2451","amandajones35@gmail.com","7206 Washington Avenue, Condo 473, Miami, FL 33133","Condo","4 bedroom house (~2200 sq ft)","Weekend availability needed","$400+","2025-04-17",74,Yes,"Needs service ASAP. No previous cleaning service experience. Flexible schedule."
"James Turner","IT Support Specialist","(305) 581-5051","jamesturner86@yahoo.com","7138 Douglas Road, Studio 461, Miami, FL 33131","Studio","3 bedroom house (~1800 sq ft)","Needs allergy-friendly products","$250-$300","2025-04-15",47,No,"Prefers weekends. Wants green/eco-friendly products."
"Ashley Taylor","Systems Administrator","(954) 263-2122","ashleytaylor39@gmail.com","1094 Ocean Drive, Condo 387, Miami, FL 33128","Condo","3 bedroom house (~1800 sq ft)","One-time move-in cleaning","$300-$400","2025-04-16",20,No,"Works from home as a Systems Administrator. Works long hours due to Systems Administrator responsibilities."
"Mary Baker","Marketing Manager","(954) 270-2735","marybaker31@hotmail.com","9367 Kendall Drive, Townhouse 119, Miami, FL 33168","Townhouse","4 bedroom house (~2200 sq ft)","Monthly deep cleaning","$200-$250","2025-05-03",58,No,"Flexible schedule. Works from home as a Marketing Manager."
"Sarah Robinson","Instructional Designer","(954) 735-8125","sarahrobinson83@gmail.com","1071 Lincoln Road, Townhouse 163, Miami, FL 33157","Townhouse","2 bedroom apartment (~1000 sq ft)","Post-renovation cleaning","$300-$400","2025-04-24",73,Yes,"Works long hours due to Instructional Designer responsibilities. Booking for a family member/elderly parent."
"Thomas Mitchell","Attorney","(954) 173-6759","thomasmitchell0@yahoo.com","8632 SW 22nd Avenue, Studio 437, Miami, FL 33161","Studio","1 bedroom apartment (~750 sq ft)","Regular weekly cleaning","Under $100","2025-04-24",67,No,"Specific areas need extra attention. Flexible schedule."
"Michael Sanchez","Security Guard","(305) 969-8598","michaelsanchez87@outlook.com","8260 Ponce de Leon Boulevard, Apartment 404, Miami, FL 33134","Apartment","4 bedroom house (~2200 sq ft)","Regular weekly cleaning","$100-$150","2025-04-20",49,No,"Booking for a family member/elderly parent. Works long hours due to Security Guard responsibilities. Has a apartment."
"Carol Roberts","Operations Assistant","(786) 431-6114","carolroberts8@outlook.com","2756 Biscayne Boulevard, Townhouse 478, Miami, FL 33136","Townhouse","2 bedroom apartment (~1000 sq ft)","Same-day emergency cleaning","Under $100","2025-05-02",94,Yes,"No previous cleaning service experience. Worried about price. Has pets (cats)."
"Jason Scott","Plumber","(786) 233-8624","jasonscott85@gmail.com","2893 SW 22nd Avenue, Studio 306, Miami, FL 33147","Studio","2 bedroom apartment (~1000 sq ft)","Same-day emergency cleaning","$300-$400","2025-04-24",89,Yes,"Recently renovated, needs deep cleaning. Works long hours due to Plumber responsibilities. Works from home as a Plumber."
